trade_date,stock_id,stock_name,avg_volume_20d,avg_turnover_20d,latest_volume,latest_turnover,turnover_ratio_20d,liquidity_score,slippage_risk_score,liquidity_warning
2026-06-30,1540,喬福,352070.65,7825947.6,101225.0,2184511.0,0.27913693160940667,50.0,50.0,
2026-06-30,1541,錩泰,38798.0,836078.0,32534.0,701571.0,0.8391214695279627,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1558,伸興,60019.1,5446328.85,44584.0,4034483.0,0.7407710975807126,50.0,50.0,
2026-06-30,1560,中砂,1682915.65,1180778463.2,2339829.0,1789999559.0,1.5159486853689421,92.0,90.0,
2026-06-30,1563,巧新,2524688.25,165839280.85,833862.0,51761430.0,0.3121180321977982,92.0,90.0,
2026-06-30,1568,倉佑,1213459.0,52294379.6,665159.0,25089535.0,0.4797749814016342,75.0,80.0,
2026-06-30,1582,信錦,3174235.1,304017755.4,853953.0,71408583.0,0.23488293605104357,92.0,90.0,
2026-06-30,1583,程泰,49679.35,2592487.4,8000.0,398600.0,0.1537519526613707,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1587,吉茂,413788.8,11808268.3,187285.0,5102723.0,0.432131356635926,50.0,50.0,
2026-06-30,1590,亞德客-KY,810444.5,1085052892.05,696510.0,941216670.0,0.867438515574804,92.0,90.0,
2026-06-30,1597,直得,2147839.85,336294864.9,958225.0,134257569.0,0.39922574803490557,92.0,90.0,
2026-06-30,1598,岱宇,301257.95,6198752.25,198575.0,3766921.0,0.6076902008787333,50.0,50.0,
2026-06-30,1603,華電,460072.7,14974404.7,322529.0,10238672.0,0.6837448436264048,50.0,50.0,
2026-06-30,1604,聲寶,440032.55,10255214.05,556626.0,13050359.0,1.272558421147728,50.0,50.0,
2026-06-30,1605,華新,60883921.05,2379236024.9,26789585.0,988872656.0,0.4156261277363445,92.0,90.0,
2026-06-30,1608,華榮,6897553.2,250357917.05,1897958.0,63593365.0,0.2540098022436395,92.0,90.0,
2026-06-30,1609,大亞,11749049.7,469297595.55,11369166.0,433469011.0,0.9236548729639021,92.0,90.0,
2026-06-30,1611,中電,2344803.9,32298074.45,910910.0,12153488.0,0.37629141077170314,60.0,65.0,
2026-06-30,1612,宏泰,2327491.05,90940048.45,1489965.0,55245872.0,0.6074977190096273,75.0,80.0,
2026-06-30,1614,三洋電,60532.3,1945721.6,47473.0,1518247.0,0.7803002238346946,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1615,大山,214982.1,9742167.05,106521.0,4756447.0,0.48823295428915886,50.0,50.0,
2026-06-30,1616,億泰,1167689.6,27328326.9,546538.0,12327798.0,0.45109962439742335,60.0,65.0,
2026-06-30,1617,榮星,498613.6,8690658.5,811906.0,16887625.0,1.9431927971856218,50.0,50.0,
2026-06-30,1618,合機,2126684.25,92270234.8,493862.0,20248718.0,0.21945016227486613,75.0,80.0,
2026-06-30,1623,大東電,248060.55,55952457.3,539617.0,120647151.0,2.1562440118246604,75.0,80.0,
2026-06-30,1626,艾美特-KY,224406.55,2262096.75,308832.0,3659640.0,1.6178087873562437,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1702,南僑,331134.25,10382145.65,220923.0,6962651.0,0.6706369988172917,50.0,50.0,
2026-06-30,1707,葡萄王,512230.3,50340258.3,1140302.0,105741094.0,2.100527442069164,75.0,80.0,
2026-06-30,1708,東鹼,15021193.3,725982706.85,12152087.0,646280868.0,0.8902152377763625,92.0,90.0,
2026-06-30,1709,和益,1732869.3,36283277.1,2100472.0,45712725.0,1.25988412992607,60.0,65.0,
2026-06-30,1710,東聯,12368352.25,186837081.05,47970615.0,780538978.0,4.177644895828348,92.0,90.0,
2026-06-30,1711,永光,10004364.55,462875338.2,3737132.0,167870573.0,0.3626690798710606,92.0,90.0,
2026-06-30,1712,興農,787977.9,31002850.85,613463.0,24018185.0,0.7747089168091779,60.0,65.0,
2026-06-30,1713,國化,255326.9,12731882.6,200836.0,9923585.0,0.7794279378605015,50.0,50.0,
2026-06-30,1714,和桐,38843355.0,578216226.7,9237747.0,181266017.0,0.31349175036910115,92.0,90.0,
2026-06-30,1717,長興,14161708.0,1044520574.7,10607115.0,790401529.0,0.7567122641188888,92.0,90.0,
2026-06-30,1718,中纖,42077132.65,428727738.1,92049285.0,1209426350.0,2.8209659476660764,92.0,90.0,
2026-06-30,1720,生達,270316.65,16938060.25,184853.0,11632898.0,0.6867904487469279,50.0,50.0,
2026-06-30,1721,三晃,2206062.5,55497511.65,858006.0,19997448.0,0.3603305338465567,75.0,80.0,
2026-06-30,1722,台肥,3089528.5,148116253.6,1307915.0,62121087.0,0.4194076307638934,92.0,90.0,
2026-06-30,1723,中碳,924043.2,79405153.7,559979.0,46186839.0,0.5816604697284277,75.0,80.0,
2026-06-30,1725,元禎,402535.85,14735856.8,177324.0,6189046.0,0.41999905970856066,50.0,50.0,
2026-06-30,1726,永記,45777.15,3587661.4,15022.0,1174816.0,0.32746011092351135,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1727,中華化,6335682.3,592996093.25,2363461.0,212061864.0,0.35761089560938686,92.0,90.0,
2026-06-30,1730,花仙子,75161.85,3998391.4,64687.0,3472943.0,0.8685850514784521,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1731,美吾華,180134.55,3881658.1,464024.0,9597145.0,2.472434396012364,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1732,毛寶,160325.1,4229715.7,130262.0,3420048.0,0.8085763305557392,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1733,五鼎,237874.7,7071471.55,199072.0,5856181.0,0.8281417748191322,50.0,50.0,
2026-06-30,1734,杏輝,407970.8,12928087.2,420687.0,13744135.0,1.0631220835206001,50.0,50.0,
2026-06-30,1735,日勝化,374000.3,8968526.15,221334.0,4889662.0,0.5452024020691516,50.0,50.0,
2026-06-30,1736,喬山,786108.4,91621903.35,866744.0,110921768.0,1.2106468425598365,75.0,80.0,
2026-06-30,1737,臺鹽,142164.1,4507410.9,130908.0,4169292.0,0.9249860047150349,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1752,南光,75220.65,2482217.4,86212.0,2844845.0,1.146090185331873,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1760,寶齡富錦,206516.7,12528745.35,190314.0,11627237.0,0.9280448021876349,50.0,50.0,
2026-06-30,1762,中化生,742486.4,28943981.65,214333.0,7933294.0,0.2740913152838459,60.0,65.0,
2026-06-30,1773,勝一,689470.3,120370040.15,473131.0,81128495.0,0.6739924228562284,92.0,90.0,
2026-06-30,1776,展宇,355825.0,6777727.25,792868.0,16359811.0,2.413760600944808,50.0,50.0,
2026-06-30,1783,和康生,113775.4,4439701.8,234455.0,9132973.0,2.057114061129061,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1786,科妍,396277.2,22219360.9,287578.0,15537969.0,0.699298646344054,60.0,65.0,
2026-06-30,1789,神隆,972873.9,19752437.75,809572.0,16679351.0,0.8444198742000845,50.0,50.0,
2026-06-30,1795,美時,1839439.6,358807674.9,1469563.0,283719653.0,0.7907290530479119,92.0,90.0,
2026-06-30,1802,台玻,81260623.35,5689525285.2,137333430.0,9978524046.0,1.753841233812046,92.0,90.0,
2026-06-30,1805,寶徠,371449.4,4139877.0,86100.0,892635.0,0.21561872490414571,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1806,冠軍,373428.55,3062772.5,219486.0,1775808.0,0.5798040827387604,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1808,潤隆,2163365.55,67512689.2,903414.0,26962402.0,0.3993679161576043,75.0,80.0,
2026-06-30,1809,中釉,14265493.4,782816981.8,12141050.0,656755655.0,0.838964496515985,92.0,90.0,
2026-06-30,1810,和成,5132939.4,108541396.9,7234230.0,152748171.0,1.4072803129733813,92.0,90.0,
2026-06-30,1817,凱撒衛,62243.4,2484137.85,130587.0,5029501.0,2.024646498582999,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1903,士紙,291069.95,14070470.95,163112.0,7625773.0,0.5419699899952531,50.0,50.0,
2026-06-30,1904,正隆,6218601.65,137555564.3,1699234.0,36037514.0,0.2619851416654033,92.0,90.0,
2026-06-30,1905,華紙,17807910.55,282189411.25,6704816.0,111379919.0,0.3946991437652677,92.0,90.0,
2026-06-30,1906,寶隆,361005.1,4141581.05,28597.0,319468.0,0.07713672535757812,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,1907,永豐餘,2933126.9,78593347.75,950040.0,25717683.0,0.3272246791395904,75.0,80.0,
2026-06-30,1909,榮成,5259000.25,51529529.0,1857262.0,17568567.0,0.3409417345926061,75.0,80.0,
2026-06-30,2002,中鋼,83772535.15,1597335881.35,73055747.0,1377431648.0,0.8623306244368929,92.0,90.0,
2026-06-30,2002A,中鋼特,28143.25,1077778.15,7645.0,292300.0,0.2712060919030508,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,2006,東和鋼鐵,4616530.0,318082847.45,4725886.0,322141412.0,1.0127594574260657,92.0,90.0,
2026-06-30,2007,燁興,443435.25,3326007.85,240988.0,1724737.0,0.5185607123567071,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,2008,高興昌,41666.2,1244995.4,67765.0,2024784.0,1.6263385390821525,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,2009,第一銅,4212229.5,177495140.1,818566.0,31177971.0,0.1756553502390796,92.0,90.0,
2026-06-30,2010,春源,2113553.85,51245789.25,2470340.0,58501052.0,1.141577734603824,75.0,80.0,
2026-06-30,2012,春雨,206505.45,3263216.3,1141438.0,19764664.0,6.056804754254261,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,2013,中鋼構,174595.45,7548994.0,233194.0,10183831.0,1.349031539831665,50.0,50.0,
2026-06-30,2014,中鴻,6532613.75,117820352.35,3973448.0,68629069.0,0.5824890830077373,92.0,90.0,
2026-06-30,2015,豐興,449141.9,27755423.3,235297.0,14278204.0,0.5144293367703745,60.0,65.0,
2026-06-30,2017,官田鋼,823208.25,7732004.65,419481.0,3803209.0,0.4918787781639526,50.0,50.0,
2026-06-30,2020,美亞,506112.9,10910351.05,408368.0,8717816.0,0.7990408337960857,50.0,50.0,
2026-06-30,2022,聚亨,863071.35,6765313.8,924946.0,7113002.0,1.0513927676200328,50.0,50.0,
2026-06-30,2023,燁輝,2030444.25,27971383.7,3523547.0,47652750.0,1.7036250516273173,60.0,65.0,
2026-06-30,2024,志聯,17337.85,245860.65,11296.0,156381.0,0.6360554240786397,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,2025,千興,1138786.6,15947804.65,695344.0,9361826.0,0.5870291369539694,50.0,50.0,
2026-06-30,2027,大成鋼,20615807.8,869045179.75,11133303.0,445296425.0,0.5123973245304684,92.0,90.0,
2026-06-30,2028,威致,163690.35,2723315.05,128841.0,2057480.0,0.7555056841477082,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,2029,盛餘,264887.1,5501523.25,224181.0,4753692.0,0.8640683287124161,50.0,50.0,
2026-06-30,2030,彰源,2067111.4,39041231.85,1217868.0,22191888.0,0.5684218183807128,60.0,65.0,
2026-06-30,2031,新光鋼,1616598.25,65870178.2,1104105.0,41887599.0,0.6359114267585205,75.0,80.0,
2026-06-30,2032,新鋼,753191.85,13329981.8,414237.0,6875443.0,0.5157878760194556,50.0,50.0,
2026-06-30,2033,佳大,232744.5,3661639.65,51031.0,819836.0,0.22389860236519998,35.0,30.0,流動性偏低，短線進出可能有滑價風險
2026-06-30,2034,允強,1763430.9,35953953.3,1160393.0,23268383.0,0.6471717534327442,60.0,65.0,
2026-06-30,2038,海光,571584.25,7935036.35,154442.0,2041663.0,0.2572972460296291,50.0,50.0,
2026-06-30,2049,上銀,3900433.9,1321802311.0,2517846.0,816706776.0,0.6178736178650848,92.0,90.0,
2026-06-30,2059,川湖,725071.1,4800552950.5,437370.0,3184538170.0,0.663369033283617,92.0,90.0,
2026-06-30,2062,橋椿,314521.1,6007461.6,134499.0,2554735.0,0.42526031294149264,50.0,50.0,
2026-06-30,2069,運錩,440674.0,8585409.75,112030.0,2061553.0,0.24012284329236586,50.0,50.0,
2026-06-30,2072,世紀風電,708391.95,126876882.65,515657.0,79126629.0,0.6236489055163589,92.0,90.0,
2026-06-30,2101,南港,3177246.4,102412029.65,1979190.0,62194006.0,0.6072919969709828,92.0,90.0,
2026-06-30,2102,泰豐,304407.35,5520777.6,372097.0,6701288.0,1.213830457506566,50.0,50.0,
