stock_id,stock_name,financial_quarter,eps,eps_yoy,roe,gross_margin,operating_margin,net_margin,debt_ratio,operating_cash_flow,financial_source,financial_source_status,financial_period
1623,大東電,115Q1,4.33,,,21.9313,19.7524,15.0383,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1626,艾美特-KY,115Q1,-1.11,,,13.3715,-7.754,-9.0994,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1702,南僑,115Q1,0.12,,,24.1143,1.1742,1.569,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1707,葡萄王,115Q1,1.18,,,69.6693,14.7207,12.5751,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1708,東鹼,115Q1,1.11,,,30.5677,16.6715,17.8669,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1709,和益,115Q1,0.55,,,20.3316,13.2242,10.9221,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1710,東聯,115Q1,-0.15,,,1.6569,-3.3048,-3.9506,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1711,永光,115Q1,0.09,,,21.5163,1.8328,2.4273,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1712,興農,115Q1,0.67,,,30.6693,7.6449,5.9547,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1713,國化,115Q1,1.36,,,10.2674,-10.8055,182.8833,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1714,和桐,115Q1,0.23,,,11.2376,6.8662,5.6629,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1717,長興,115Q1,0.37,,,22.161,5.223,4.1958,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1720,生達,115Q1,1.3,,,43.6228,20.7985,18.076,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1721,三晃,115Q1,-0.36,,,-5.6343,-16.1739,-16.7456,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1722,台肥,115Q1,0.19,,,6.9881,-1.2962,4.9212,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1723,中碳,115Q1,0.77,,,25.0233,14.1823,13.9989,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1725,元禎,115Q1,0.23,,,4.8145,2.1553,1.8909,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1726,永記,115Q1,2.03,,,29.0344,14.0766,12.3757,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1727,中華化,115Q1,0.28,,,17.9517,8.3089,6.9125,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1730,花仙子,115Q1,1.48,,,50.6424,17.4041,15.7718,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1731,美吾華,115Q1,0.43,,,62.2926,16.5258,12.7672,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1732,毛寶,115Q1,0.35,,,41.8292,8.1295,8.8333,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1733,五鼎,115Q1,0.81,,,33.7995,16.7803,15.6564,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1734,杏輝,115Q1,0.39,,,43.8467,11.042,8.256,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1735,日勝化,115Q1,0.2,,,19.2615,4.8648,3.2834,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1736,喬山,115Q1,0.08,,,51.3264,-0.7848,0.2046,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1737,臺鹽,115Q1,0.47,,,40.4018,15.3894,11.964,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
1752,南光,115Q1,0.32,,,35.404,13.3598,6.0458,,,TWSE OpenAPI t187ap06_L_ci,OK,115Q1
