stock_id,stock_name,date,pe_ratio,pb_ratio,dividend_yield,financial_quarter,valuation_source,valuation_source_status
1711,永光,2026-06-10,,2.81,,,TWSE OpenAPI BWIBBU_ALL,OK
1712,興農,2026-06-10,15.79,2.1,6.39,,TWSE OpenAPI BWIBBU_ALL,OK
1713,國化,2026-06-10,10.76,1.8,6.43,,TWSE OpenAPI BWIBBU_ALL,OK
1714,和桐,2026-06-10,20.47,1.01,1.37,,TWSE OpenAPI BWIBBU_ALL,OK
1717,長興,2026-06-10,45.81,2.76,1.47,,TWSE OpenAPI BWIBBU_ALL,OK
1718,中纖,2026-06-10,37.08,0.53,,,TWSE OpenAPI BWIBBU_ALL,OK
1720,生達,2026-06-10,11.59,1.85,4.79,,TWSE OpenAPI BWIBBU_ALL,OK
1721,三晃,2026-06-10,,2.7,,,TWSE OpenAPI BWIBBU_ALL,OK
1722,台肥,2026-06-10,45.48,0.85,4.23,,TWSE OpenAPI BWIBBU_ALL,OK
1723,中碳,2026-06-10,33.83,2.42,2.21,,TWSE OpenAPI BWIBBU_ALL,OK
1725,元禎,2026-06-10,19.1,0.84,3.46,,TWSE OpenAPI BWIBBU_ALL,OK
1726,永記,2026-06-10,13.19,1.16,4.73,,TWSE OpenAPI BWIBBU_ALL,OK
1727,中華化,2026-06-10,235.41,5.28,0.17,,TWSE OpenAPI BWIBBU_ALL,OK
1730,花仙子,2026-06-10,11.36,1.54,5.7,,TWSE OpenAPI BWIBBU_ALL,OK
1731,美吾華,2026-06-10,15.36,1.29,5.67,,TWSE OpenAPI BWIBBU_ALL,OK
1732,毛寶,2026-06-10,29.22,2.26,2.28,,TWSE OpenAPI BWIBBU_ALL,OK
1733,五鼎,2026-06-10,15.77,1.57,4.53,,TWSE OpenAPI BWIBBU_ALL,OK
1734,杏輝,2026-06-10,18.2,1.68,5.11,,TWSE OpenAPI BWIBBU_ALL,OK
1735,日勝化,2026-06-10,28.33,1.44,2.83,,TWSE OpenAPI BWIBBU_ALL,OK
1736,喬山,2026-06-10,13.61,2.41,4.02,,TWSE OpenAPI BWIBBU_ALL,OK
1737,臺鹽,2026-06-10,15.93,0.92,4.42,,TWSE OpenAPI BWIBBU_ALL,OK
1752,南光,2026-06-10,16.18,1.41,4.87,,TWSE OpenAPI BWIBBU_ALL,OK
1760,寶齡富錦,2026-06-10,24.7,2.87,3.25,,TWSE OpenAPI BWIBBU_ALL,OK
1762,中化生,2026-06-10,,0.96,,,TWSE OpenAPI BWIBBU_ALL,OK
1773,勝一,2026-06-10,23.24,4.26,2.37,,TWSE OpenAPI BWIBBU_ALL,OK
1776,展宇,2026-06-10,36.53,1.25,3.35,,TWSE OpenAPI BWIBBU_ALL,OK
1783,和康生,2026-06-10,12.88,2.15,5.14,,TWSE OpenAPI BWIBBU_ALL,OK
1786,科妍,2026-06-10,33.47,2.29,3.36,,TWSE OpenAPI BWIBBU_ALL,OK
1789,神隆,2026-06-10,142.86,1.53,1.45,,TWSE OpenAPI BWIBBU_ALL,OK
1795,美時,2026-06-10,13.78,2.21,1.33,,TWSE OpenAPI BWIBBU_ALL,OK
1802,台玻,2026-06-10,462.31,3.52,,,TWSE OpenAPI BWIBBU_ALL,OK
1805,寶徠,2026-06-10,81.15,0.87,,,TWSE OpenAPI BWIBBU_ALL,OK
1806,冠軍,2026-06-10,58.5,0.61,1.83,,TWSE OpenAPI BWIBBU_ALL,OK
1808,潤隆,2026-06-10,11.75,2.05,4.76,,TWSE OpenAPI BWIBBU_ALL,OK
1809,中釉,2026-06-10,266.84,2.86,0.49,,TWSE OpenAPI BWIBBU_ALL,OK
1810,和成,2026-06-10,5.58,0.79,0.95,,TWSE OpenAPI BWIBBU_ALL,OK
1817,凱撒衛,2026-06-10,9.36,1.21,5.61,,TWSE OpenAPI BWIBBU_ALL,OK
1903,士紙,2026-06-10,36.94,2.28,,,TWSE OpenAPI BWIBBU_ALL,OK
1904,正隆,2026-06-10,18.98,0.86,1.94,,TWSE OpenAPI BWIBBU_ALL,OK
1905,華紙,2026-06-10,,0.88,,,TWSE OpenAPI BWIBBU_ALL,OK
1906,寶隆,2026-06-10,,0.55,,,TWSE OpenAPI BWIBBU_ALL,OK
1907,永豐餘,2026-06-10,18.64,0.55,3.83,,TWSE OpenAPI BWIBBU_ALL,OK
1909,榮成,2026-06-10,,0.62,,,TWSE OpenAPI BWIBBU_ALL,OK
2002,中鋼,2026-06-10,,0.96,0.8,,TWSE OpenAPI BWIBBU_ALL,OK
2006,東和鋼鐵,2026-06-10,10.05,1.5,6.46,,TWSE OpenAPI BWIBBU_ALL,OK
2007,燁興,2026-06-10,,0.97,,,TWSE OpenAPI BWIBBU_ALL,OK
2008,高興昌,2026-06-10,39.27,1.49,3.4,,TWSE OpenAPI BWIBBU_ALL,OK
2009,第一銅,2026-06-10,68.42,1.69,1.03,,TWSE OpenAPI BWIBBU_ALL,OK
2010,春源,2026-06-10,10.3,1.29,8.33,,TWSE OpenAPI BWIBBU_ALL,OK
2012,春雨,2026-06-10,,1.03,2.12,,TWSE OpenAPI BWIBBU_ALL,OK
2013,中鋼構,2026-06-10,13.19,1.46,5.63,,TWSE OpenAPI BWIBBU_ALL,OK
2014,中鴻,2026-06-10,,2.1,,,TWSE OpenAPI BWIBBU_ALL,OK
2015,豐興,2026-06-10,15.59,1.7,5.33,,TWSE OpenAPI BWIBBU_ALL,OK
2017,官田鋼,2026-06-10,,0.75,,,TWSE OpenAPI BWIBBU_ALL,OK
2020,美亞,2026-06-10,11.08,1.4,8.37,,TWSE OpenAPI BWIBBU_ALL,OK
2022,聚亨,2026-06-10,,0.78,,,TWSE OpenAPI BWIBBU_ALL,OK
2023,燁輝,2026-06-10,,0.8,,,TWSE OpenAPI BWIBBU_ALL,OK
2024,志聯,2026-06-10,198.57,1.2,,,TWSE OpenAPI BWIBBU_ALL,OK
2025,千興,2026-06-10,90.31,1.51,,,TWSE OpenAPI BWIBBU_ALL,OK
2027,大成鋼,2026-06-10,12.43,1.26,3.53,,TWSE OpenAPI BWIBBU_ALL,OK
2028,威致,2026-06-10,47.0,1.12,1.22,,TWSE OpenAPI BWIBBU_ALL,OK
2029,盛餘,2026-06-10,33.39,0.66,2.9,,TWSE OpenAPI BWIBBU_ALL,OK
2030,彰源,2026-06-10,28.26,1.03,2.68,,TWSE OpenAPI BWIBBU_ALL,OK
2031,新光鋼,2026-06-10,9.11,1.27,6.0,,TWSE OpenAPI BWIBBU_ALL,OK
2032,新鋼,2026-06-10,20.06,1.28,2.9,,TWSE OpenAPI BWIBBU_ALL,OK
2033,佳大,2026-06-10,47.42,1.19,1.28,,TWSE OpenAPI BWIBBU_ALL,OK
2034,允強,2026-06-10,,1.1,5.01,,TWSE OpenAPI BWIBBU_ALL,OK
2038,海光,2026-06-10,,0.69,1.48,,TWSE OpenAPI BWIBBU_ALL,OK
2049,上銀,2026-06-10,71.02,3.07,0.61,,TWSE OpenAPI BWIBBU_ALL,OK
2059,川湖,2026-06-10,56.15,19.25,0.8,,TWSE OpenAPI BWIBBU_ALL,OK
2062,橋椿,2026-06-10,90.0,0.5,5.29,,TWSE OpenAPI BWIBBU_ALL,OK
2069,運錩,2026-06-10,10.68,0.75,5.09,,TWSE OpenAPI BWIBBU_ALL,OK
2072,世紀風電,2026-06-10,13.93,1.5,3.89,,TWSE OpenAPI BWIBBU_ALL,OK
2101,南港,2026-06-10,10.56,1.76,2.14,,TWSE OpenAPI BWIBBU_ALL,OK
2102,泰豐,2026-06-10,2.81,0.86,,,TWSE OpenAPI BWIBBU_ALL,OK
2103,台橡,2026-06-10,31.42,0.85,1.28,,TWSE OpenAPI BWIBBU_ALL,OK
2104,國際中橡,2026-06-10,,0.43,,,TWSE OpenAPI BWIBBU_ALL,OK
2105,正新,2026-06-10,21.33,1.32,5.21,,TWSE OpenAPI BWIBBU_ALL,OK
2106,建大,2026-06-10,106.76,0.88,3.58,,TWSE OpenAPI BWIBBU_ALL,OK
2107,厚生,2026-06-10,17.95,0.59,5.42,,TWSE OpenAPI BWIBBU_ALL,OK
2108,南帝,2026-06-10,32.47,0.97,3.54,,TWSE OpenAPI BWIBBU_ALL,OK
2109,華豐,2026-06-10,11.79,1.14,7.07,,TWSE OpenAPI BWIBBU_ALL,OK
2114,鑫永銓,2026-06-10,15.41,2.11,5.64,,TWSE OpenAPI BWIBBU_ALL,OK
2115,六暉-KY,2026-06-10,17.28,0.69,6.83,,TWSE OpenAPI BWIBBU_ALL,OK
2201,裕隆,2026-06-10,32.47,0.45,2.03,,TWSE OpenAPI BWIBBU_ALL,OK
2204,中華,2026-06-10,10.31,0.84,6.44,,TWSE OpenAPI BWIBBU_ALL,OK
2206,三陽工業,2026-06-10,10.85,1.74,4.88,,TWSE OpenAPI BWIBBU_ALL,OK
2207,和泰車,2026-06-10,14.26,3.42,4.11,,TWSE OpenAPI BWIBBU_ALL,OK
2208,台船,2026-06-10,,3.1,,,TWSE OpenAPI BWIBBU_ALL,OK
2211,長榮鋼,2026-06-10,11.3,1.41,7.03,,TWSE OpenAPI BWIBBU_ALL,OK
2227,裕日車,2026-06-10,52.58,0.8,1.72,,TWSE OpenAPI BWIBBU_ALL,OK
