trade_date,stock_id,stock_name,margin_balance,margin_change,short_balance,short_change,securities_lending_sell_volume,securities_lending_balance
2026-05-18,009811,統一美國50,126.0,-4.0,35.0,0.0,,
2026-05-18,009812,野村日本東證,54.0,0.0,0.0,0.0,,
2026-05-18,009813,貝萊德標普卓越50,254.0,0.0,0.0,0.0,,
2026-05-18,009816,凱基台灣TOP50,29946.0,-684.0,548.0,-5.0,,
2026-05-18,009817,國泰日本不動產,150.0,-9.0,0.0,0.0,,
2026-05-18,009818,華南永昌NASDAQxT,4.0,0.0,0.0,0.0,,
2026-05-18,009819,中信數據及電力,4467.0,225.0,1.0,0.0,,
2026-05-18,00981A,主動統一台股增長,187100.0,-897.0,3910.0,-1523.0,,
2026-05-18,00981T,平衡凱基雙核收息,26.0,1.0,0.0,0.0,,
2026-05-18,009820,元大納斯達克精選,1943.0,-558.0,200.0,0.0,,
2026-05-18,00982A,主動群益台灣強棒,15703.0,1696.0,0.0,0.0,,
2026-05-18,00982D,主動富邦動態入息,130.0,1.0,0.0,0.0,,
2026-05-18,00982T,平衡兆豐台美動能,0.0,0.0,0.0,0.0,,
2026-05-18,00983A,主動中信ARK創新,869.0,21.0,6.0,0.0,,
2026-05-18,00983D,主動富邦複合收益,54.0,0.0,0.0,0.0,,
2026-05-18,00984A,主動安聯台灣高息,635.0,6.0,0.0,0.0,,
2026-05-18,00984D,主動聯博全球非投,3723.0,-380.0,0.0,0.0,,
2026-05-18,00985A,主動野村台灣50,2032.0,-9.0,67.0,0.0,,
2026-05-18,00985B,群益ESG投等債0-5,277.0,-4.0,0.0,0.0,,
2026-05-18,00986A,主動台新龍頭成長,53.0,-1.0,0.0,0.0,,
2026-05-18,00987A,主動台新優勢成長,3198.0,-48.0,19.0,-3.0,,
2026-05-18,00988A,主動統一全球創新,69437.0,19682.0,31243.0,430.0,,
2026-05-18,00989A,主動摩根美國科技,154.0,-3.0,0.0,0.0,,
2026-05-18,00990A,主動元大AI新經濟,12650.0,-348.0,170.0,-4.0,,
2026-05-18,00991A,主動復華未來50,57748.0,4610.0,475.0,0.0,,
2026-05-18,00992A,主動群益科技創新,56880.0,-2592.0,750.0,-121.0,,
2026-05-18,00993A,主動安聯台灣,2017.0,-59.0,39.0,-2.0,,
2026-05-18,00994A,主動第一金台股優,8556.0,-107.0,8.0,-1.0,,
2026-05-18,00995A,主動中信台灣卓越,2014.0,-30.0,13.0,-7.0,,
2026-05-18,00996A,主動兆豐台灣豐收,2961.0,-356.0,19.0,-6.0,,
2026-05-18,00997A,主動群益美國增長,8358.0,-736.0,2.0,-1.0,,
2026-05-18,00999A,主動野村臺灣高息,10864.0,1202.0,2.0,-15.0,,
2026-05-18,1101,台泥,31094.0,-81.0,87.0,-4.0,,
2026-05-18,1102,亞泥,1387.0,-29.0,13.0,0.0,,
2026-05-18,1103,嘉泥,4132.0,0.0,0.0,0.0,,
2026-05-18,1104,環泥,1042.0,3.0,0.0,0.0,,
2026-05-18,1108,幸福,798.0,-108.0,0.0,0.0,,
2026-05-18,1109,信大,307.0,-107.0,0.0,0.0,,
2026-05-18,1110,東泥,2779.0,7.0,0.0,0.0,,
2026-05-18,1201,味全,1280.0,-6.0,2.0,-2.0,,
2026-05-18,1203,味王,7.0,1.0,0.0,0.0,,
2026-05-18,1210,大成,1900.0,-9.0,0.0,0.0,,
2026-05-18,1213,大飲,0.0,0.0,0.0,0.0,,
2026-05-18,1215,卜蜂,281.0,5.0,0.0,0.0,,
2026-05-18,1216,統一,1081.0,70.0,10.0,-5.0,,
2026-05-18,1217,愛之味,1263.0,11.0,0.0,0.0,,
2026-05-18,1218,泰山,1607.0,-7.0,0.0,0.0,,
2026-05-18,1219,福壽,1118.0,-215.0,0.0,0.0,,
2026-05-18,1220,台榮,1146.0,2.0,0.0,0.0,,
2026-05-18,1225,福懋油,7140.0,2.0,0.0,0.0,,
2026-05-18,1227,佳格,1000.0,-57.0,11.0,0.0,,
2026-05-18,1229,聯華,2885.0,36.0,5.0,4.0,,
2026-05-18,1231,聯華食,264.0,0.0,0.0,0.0,,
2026-05-18,1232,大統益,4.0,0.0,0.0,0.0,,
2026-05-18,1233,天仁,57.0,0.0,0.0,0.0,,
2026-05-18,1234,黑松,25.0,1.0,0.0,0.0,,
2026-05-18,1235,興泰,713.0,-97.0,0.0,0.0,,
2026-05-18,1236,宏亞,194.0,-27.0,0.0,0.0,,
2026-05-18,1256,鮮活果汁-KY,344.0,50.0,0.0,0.0,,
2026-05-18,1301,台塑,18426.0,304.0,235.0,3.0,,
2026-05-18,1303,南亞,42823.0,-3686.0,2686.0,-201.0,,
2026-05-18,1304,台聚,12661.0,296.0,124.0,7.0,,
2026-05-18,1305,華夏,7528.0,227.0,269.0,6.0,,
2026-05-18,1307,三芳,1679.0,-9.0,1.0,0.0,,
2026-05-18,1308,亞聚,8093.0,46.0,8.0,5.0,,
2026-05-18,1309,台達化,9286.0,1032.0,1410.0,-1.0,,
2026-05-18,1310,台苯,11482.0,-84.0,5.0,-4.0,,
2026-05-18,1312,國喬,16114.0,39.0,16.0,2.0,,
2026-05-18,1313,聯成,11253.0,-115.0,2.0,0.0,,
2026-05-18,1314,中石化,47180.0,-443.0,14.0,-92.0,,
2026-05-18,1315,達新,60.0,0.0,0.0,0.0,,
2026-05-18,1316,上曜,11013.0,-16.0,17.0,3.0,,
2026-05-18,1319,東陽,5012.0,-506.0,5.0,3.0,,
2026-05-18,1321,大洋,7096.0,10.0,0.0,0.0,,
2026-05-18,1323,永裕,115.0,-1.0,0.0,0.0,,
2026-05-18,1324,地球,1459.0,4.0,0.0,0.0,,
2026-05-18,1325,恆大,2603.0,-13.0,40.0,24.0,,
2026-05-18,1326,台化,16668.0,694.0,63.0,23.0,,
2026-05-18,1337,再生-KY,20922.0,-79.0,0.0,0.0,,
2026-05-18,1338,廣華-KY,2384.0,68.0,1.0,0.0,,
2026-05-18,1339,昭輝,643.0,19.0,0.0,0.0,,
2026-05-18,1340,勝悅-KY,968.0,-110.0,0.0,0.0,,
2026-05-18,1342,八貫,529.0,-11.0,0.0,0.0,,
2026-05-18,1402,遠東新,9643.0,268.0,228.0,0.0,,
2026-05-18,1409,新纖,10062.0,-46.0,3.0,-3.0,,
2026-05-18,1410,南染,317.0,0.0,0.0,0.0,,
2026-05-18,1413,宏洲,0.0,0.0,0.0,0.0,,
2026-05-18,1414,東和,1016.0,24.0,0.0,0.0,,
2026-05-18,1416,廣豐,3798.0,-6.0,0.0,0.0,,
2026-05-18,1417,嘉裕,1534.0,4.0,0.0,0.0,,
2026-05-18,1418,東華,718.0,0.0,0.0,0.0,,
2026-05-18,1419,新紡,1217.0,-47.0,3.0,0.0,,
2026-05-18,1423,利華,69.0,-1.0,0.0,0.0,,
2026-05-18,1432,大魯閣,109.0,5.0,0.0,0.0,,
2026-05-18,1434,福懋,2598.0,0.0,0.0,0.0,,
2026-05-18,1435,中福,0.0,0.0,0.0,0.0,,
2026-05-18,1436,華友聯,903.0,-9.0,11.0,0.0,,
2026-05-18,1437,勤益控,1968.0,0.0,30.0,0.0,,
2026-05-18,1438,三地開發,61.0,-1.0,0.0,0.0,,
2026-05-18,1439,雋揚,1206.0,0.0,7.0,0.0,,
2026-05-18,1440,南紡,4974.0,31.0,0.0,-2.0,,
2026-05-18,1441,大東,0.0,0.0,0.0,0.0,,
2026-05-18,1442,名軒,3121.0,2.0,9.0,1.0,,
2026-05-18,1443,立益物流,35.0,0.0,0.0,0.0,,
2026-05-18,1444,力麗,1015.0,0.0,0.0,0.0,,
2026-05-18,1445,大宇,1303.0,0.0,0.0,0.0,,
2026-05-18,1446,宏和,2262.0,-57.0,0.0,0.0,,
2026-05-18,1447,力鵬,2493.0,-88.0,0.0,0.0,,
2026-05-18,1449,佳和,3910.0,-56.0,0.0,0.0,,
2026-05-18,1451,年興,612.0,0.0,0.0,0.0,,
2026-05-18,1452,宏益,103.0,2.0,0.0,0.0,,
2026-05-18,1453,大將,1312.0,1.0,0.0,0.0,,
2026-05-18,1454,台富,2091.0,7.0,0.0,0.0,,
2026-05-18,1455,集盛,2717.0,-67.0,26.0,0.0,,
2026-05-18,1456,怡華,317.0,-2.0,0.0,0.0,,
2026-05-18,1457,宜進,603.0,0.0,0.0,0.0,,
2026-05-18,1459,聯發,370.0,-5.0,0.0,0.0,,
2026-05-18,1460,宏遠,0.0,0.0,0.0,0.0,,
2026-05-18,1463,強盛新,248.0,-4.0,0.0,0.0,,
2026-05-18,1464,得力,2005.0,0.0,0.0,0.0,,
2026-05-18,1465,偉全,3335.0,14.0,0.0,0.0,,
2026-05-18,1466,聚隆,4698.0,-33.0,1.0,-1.0,,
2026-05-18,1467,南緯,4658.0,48.0,0.0,0.0,,
2026-05-18,1468,昶和,0.0,0.0,0.0,0.0,,
2026-05-18,1470,大統新創,6.0,0.0,0.0,0.0,,
2026-05-18,1471,首利,0.0,0.0,0.0,0.0,,
2026-05-18,1472,三洋實業,4149.0,0.0,0.0,0.0,,
2026-05-18,1473,台南,819.0,-17.0,0.0,0.0,,
2026-05-18,1474,弘裕,3352.0,0.0,0.0,0.0,,
2026-05-18,1475,業旺,361.0,2.0,0.0,0.0,,
2026-05-18,1476,儒鴻,661.0,22.0,3.0,0.0,,
2026-05-18,1477,聚陽,1436.0,58.0,9.0,-1.0,,
2026-05-18,1503,士電,2894.0,-93.0,24.0,9.0,,
2026-05-18,1504,東元,27501.0,-147.0,102.0,2.0,,
2026-05-18,1506,正道,0.0,0.0,0.0,0.0,,
2026-05-18,1512,瑞利,0.0,0.0,0.0,0.0,,
2026-05-18,1513,中興電,8915.0,8.0,18.0,4.0,,
2026-05-18,1514,亞力,7299.0,56.0,191.0,-305.0,,
2026-05-18,1515,力山,1967.0,10.0,2.0,-1.0,,
2026-05-18,1516,川飛,18.0,0.0,0.0,0.0,,
2026-05-18,1517,利奇,1311.0,14.0,1.0,1.0,,
2026-05-18,1519,華城,3325.0,26.0,50.0,8.0,,
2026-05-18,1521,大億,421.0,1.0,0.0,0.0,,
2026-05-18,1522,堤維西,4629.0,5.0,29.0,0.0,,
2026-05-18,1524,耿鼎,4658.0,-14.0,17.0,-4.0,,
2026-05-18,1525,江申,249.0,11.0,0.0,0.0,,
2026-05-18,1526,日馳,622.0,-11.0,0.0,0.0,,
2026-05-18,1527,鑽全,545.0,-1.0,1.0,0.0,,
2026-05-18,1528,恩德,10272.0,40.0,338.0,19.0,,
2026-05-18,1529,樂事綠能,3428.0,19.0,0.0,0.0,,
2026-05-18,1530,亞崴,133.0,0.0,0.0,0.0,,
2026-05-18,1531,高林股,1925.0,2.0,1.0,0.0,,
2026-05-18,1532,勤美,2418.0,-85.0,0.0,0.0,,
2026-05-18,1533,車王電,741.0,4.0,0.0,0.0,,
2026-05-18,1535,中宇,49.0,-3.0,0.0,0.0,,
2026-05-18,1536,和大,8720.0,170.0,203.0,-5.0,,
2026-05-18,1537,廣隆,33.0,3.0,0.0,0.0,,
2026-05-18,1538,正峰,0.0,0.0,0.0,0.0,,
2026-05-18,1539,巨庭,1219.0,13.0,0.0,0.0,,
2026-05-18,1540,喬福,1883.0,-12.0,0.0,0.0,,
2026-05-18,1541,錩泰,115.0,9.0,0.0,0.0,,
2026-05-18,1558,伸興,294.0,0.0,0.0,0.0,,
2026-05-18,1560,中砂,1902.0,-3.0,73.0,1.0,,
2026-05-18,1563,巧新,1067.0,6.0,0.0,0.0,,
2026-05-18,1568,倉佑,3122.0,-1.0,1.0,0.0,,
2026-05-18,1582,信錦,7718.0,1164.0,48.0,17.0,,
2026-05-18,1583,程泰,31.0,1.0,0.0,0.0,,
2026-05-18,1587,吉茂,2906.0,-61.0,4.0,0.0,,
2026-05-18,1589,永冠-KY,1776.0,-3.0,0.0,0.0,,
2026-05-18,1590,亞德客-KY,182.0,-1.0,1.0,0.0,,
2026-05-18,1597,直得,7185.0,227.0,202.0,12.0,,
2026-05-18,1598,岱宇,2162.0,0.0,7.0,0.0,,
2026-05-18,1603,華電,2331.0,-14.0,68.0,-20.0,,
2026-05-18,1604,聲寶,261.0,0.0,0.0,0.0,,
2026-05-18,1605,華新,50187.0,-140.0,346.0,-88.0,,
2026-05-18,1608,華榮,8451.0,30.0,0.0,-7.0,,
2026-05-18,1609,大亞,13731.0,135.0,17.0,1.0,,
2026-05-18,1611,中電,3464.0,-49.0,2.0,2.0,,
2026-05-18,1612,宏泰,1394.0,1.0,1.0,0.0,,
2026-05-18,1614,三洋電,356.0,1.0,0.0,0.0,,
2026-05-18,1615,大山,150.0,-2.0,5.0,0.0,,
2026-05-18,1616,億泰,3555.0,-70.0,7.0,-3.0,,
2026-05-18,1617,榮星,1223.0,7.0,0.0,0.0,,
2026-05-18,1618,合機,3989.0,-19.0,4.0,0.0,,
2026-05-18,1626,艾美特-KY,2570.0,2.0,1.0,0.0,,
2026-05-18,1702,南僑,404.0,0.0,1.0,0.0,,
2026-05-18,1707,葡萄王,225.0,-4.0,4.0,0.0,,
2026-05-18,1708,東鹼,5633.0,-63.0,37.0,-9.0,,
